name,city,province,region,type,beds,phone,email,website,latitude,longitude,address,source,id,place_id
Sidi Med Ben Abdellah,Essaouira (Mun.),Essaouira,Marrakech-Safi,HP,500.0,+212 24 87 23 45,,,,,"Route de Diabat, Essaouira 22000, Maroc",gov,125,95.0
Ibn Tofeil,Gueliz (Arrond.),Marrakech,Marrakech-Safi,HIR,500.0,+212 524 43 31 31,,,,,"Boulevard Mohammed V, Gueliz, Marrakech, Maroc",gov,126,96.0
Ibn Nafis,Gueliz (Arrond.),Marrakech,Marrakech-Safi,CPU,500.0,+212 524 43 33 33,,,,,"Boulevard Ibn Sina, Gueliz, Marrakech, Maroc",gov,127,96.0
Hopital Mère-Enfant,Gueliz (Arrond.),Marrakech,Marrakech-Safi,HIR,500.0,+212 524 43 33 33,hme@hopitalmarrakech.ma,https://hopitalmarrakech.ma/,,,"Boulevard Mohammed V, Gueliz, Marrakech, Maroc",gov,128,96.0
Centre d'Hématologie Oncologie,Gueliz (Arrond.),Marrakech,Marrakech-Safi,HIR,500.0,+212 524 43 31 31,,,,,"Boulevard Mohammed V, Gueliz, Marrakech, Maroc",gov,129,96.0
Arrazi,Gueliz (Arrond.),Marrakech,Marrakech-Safi,HIR,500.0,+212 24 43 31 31,,,,,"Boulevard Mohammed V, Gueliz, Marrakech, Maroc",gov,130,96.0
Ibn Zohr,Marrakech-Médina (Arrond.),Marrakech,Marrakech-Safi,HR,1000.0,0524 43 31 31,,,,,"Boulevard de l'Académie, 40000 Marrakech, Maroc",gov,131,97.0
El Antaki,Marrakech-Médina (Arrond.),Marrakech,Marrakech-Safi,HR,150.0,+212 524 38 22 22,,,,,"Rue El Antaki, Marrakech-Médina, Marrakech, Maroc",gov,132,97.0
Mhamid,Ménara (Arrond.),Marrakech,Marrakech-Safi,HPr,150.0,+212 524 83 23 45,mhamid.hopital@marrakech.ma,https://mhamid.hopital.ma,,,"Route de Mhamid, Ménara, Marrakech, Maroc",gov,133,98.0
Charifa,Sidi Youssef Ben Ali (Arrond.),Marrakech,Marrakech-Safi,HPr,80.0,,,,,,"Sidi Youssef Ben Ali, Maroc",gov,134,99.0
Saada,Saada,Marrakech,Marrakech-Safi,HPsyR,250.0,+212 5 38 23 45 67,saada.hopital@maroc.ma,https://saada.hopital.ma,,,"Route de la ville, 12300 Saada, Maroc",gov,135,100.0
Benguerir,Ben Guerir (Mun.),Rehamena,Marrakech-Safi,HP,500.0,+212 48 98 22 22,,,,,"Route de Marrakech, 43150 Ben Guerir, Maroc",gov,136,101.0
Mohamed V,Safi (Mun.),Safi,Marrakech-Safi,HP,500.0,+212 55 73 23 11,,,,,"Route de l'hôpital, 46000 Safi, Maroc",gov,137,102.0
Aisha,Safi (Mun.),Safi,Marrakech-Safi,HPr,300.0,+212 55 73 23 456,aisha.hopital@safi.ma,https://aisha.hopital.ma,,,"Route de l'hôpital, 46000 Safi, Maroc",gov,138,102.0
Lalla Hasna,Youssoufia (Mun.),Youssoufia,Marrakech-Safi,HP,300.0,+212 40 98 22 11,lalla.hasna@hopital-marocain.ma,https://www.hopital-lalla-hasna.ma,,,"Route de Youssoufia, 46000 Youssoufia, Maroc",gov,139,103.0
Sghiri Houmman I Ben Maati,Arfoud (Mun.),Errachidia,Drâa-Tafilalet,HPr,100.0,+212 66 87 22 11,,,,,"Route de Meknès, Arfoud, Province de Errachidia, Maroc",gov,140,104.0
My Ali Cherif,Errachidia (Mun.),Errachidia,Drâa-Tafilalet,HR,500.0,+212 536 78 31 31,,,,,"Route de Meknès, Errachidia, 52400, Maroc",gov,141,105.0
Hôpital Amir Soultan Ibn Abdelaziz,Errachidia (Mun.),Errachidia,Drâa-Tafilalet,HP,200.0,0535 53 22 22,,,,,"Route de Meknès, Errachidia 52000, Maroc",gov,142,105.0
20 Aout (Goulmima),Goulmima (Mun.),Errachidia,Drâa-Tafilalet,HPr,100.0,+212 66 85 21 31,,,,,"Route de la ville, Goulmima, Province de Figuig, Région de Oriental, Maroc",gov,143,106.0
Midelt,Midelt (Mun.),Midelt,Drâa-Tafilalet,HP,150.0,+212 53 85 22 22,,,,,"Route de Meknès, 54200 Midelt, Maroc",gov,144,107.0
HPr Rich,Er-rich (Mun.),Midelt,Drâa-Tafilalet,HPr,300.0,+212 536 78 11 11,,,,,"Rue du Docteur Abdelmoumen, 20100 Errachidia, Province de Er-Rich (Mun.), Maroc",gov,145,108.0
Sidi Hssain Bencer,Ouarzazate (Mun.),Ouarzazate,Drâa-Tafilalet,HP,200.0,+212 24 88 23 45,sidi-hssain-bencer@hopital-marocain.ma,https://www.hopital-marocain.ma/sidi-hssain-bencer,,,"Route de Marrakech, 45000 Ouarzazate",gov,146,109.0
Bougafer,Ouarzazate (Mun.),Ouarzazate,Drâa-Tafilalet,HP,250.0,+212 24 88 22 33,hpbougafer@minss.gov.ma,https://www.hpbougafer.ma,,,"Route de Marrakech, Ouarzazate, Maroc",gov,147,109.0
HPr Kalaat M'gouna,Kalaat M'Gouna (Mun.),Tinghir,Drâa-Tafilalet,HPr,100.0,+212 44 58 72 24,,,,,"Kalaat M'Gouna, Province de Ouarzazate, Maroc",gov,148,110.0
Tinghir,Tinghir (Mun.),Tinghir,Drâa-Tafilalet,HP,150.0,+212 24 88 22 11,,,,,"Route de Marrakech, Tinghir, Province de Tinghir, Région Drâa-Tafilalet, Maroc",gov,149,111.0
Ed-Derrak,Zagora (Mun.),Zagora,Drâa-Tafilalet,HP,150.0,0524 84 22 22,,,,,"Route de Marrakech, 46000 Zagora, Maroc",gov,150,112.0
Hassan II,Agadir (Mun.),Agadir Ida Ou Tanane,Souss-Massa,HR,500.0,0528 82 22 22,,,,,"Route de l'aéroport, 80000 Agadir",gov,151,113.0
C. d'Oncologie d'Agadir,Agadir (Mun.),Agadir Ida Ou Tanane,Souss-Massa,CRO,100.0,+212 528 823 333,,,,,"Route de l'Ocean, 80000 Agadir, Maroc",gov,152,113.0
Mokhtar Soussi,Biougra (Mun.),Chtouka Ait Baha,Souss-Massa,HP,150.0,0525 23 45 67,mokhtar.soussi@hopital-biougra.ma,https://hopital-biougra.ma,,,"Route de la ville, BP 123, 68000 Biougra",gov,153,114.0
Inezgane,Inezgane (Mun.),Inezgane Ait Melloul,Souss-Massa,HP,500.0,+212 524 43 25 00,,,,,"Route de l'Université, 80000 Inezgane, Marrakech, Maroc",gov,154,115.0
Oulad Teima,Oulad Teima (Mun.),Taroudant,Souss-Massa,HPr,120.0,,,,,,Oulad Teima (Mun.),gov,155,116.0
Mokhtar Es-Soussi,Taroudannt (Mun.),Taroudant,Souss-Massa,HP,500.0,+212 528 83 22 44,,,,,"Route de Marrakech, 83000 Taroudant, Maroc",gov,156,117.0
Tata,Tata (Mun.),Tata,Souss-Massa,HP,150.0,+212 524 48 23 23,,,,,"Route de Marrakech, Tata, Marrakech-Safi, Maroc",gov,157,118.0
Hassan 1er,Tiznit (Mun.),Tiznit,Souss-Massa,HP,200.0,+212 528 83 11 11,,,,,"Route de la Plage, Tiznit, Maroc",gov,158,119.0
Houmman El Fatouaki,Tiznit (Mun.),Tiznit,Souss-Massa,HP,150.0,+212 528 83 23 14,info@hoummanelfatouaki.ma,https://hoummanelfatouaki.ma,,,"Route de la ville, Tiznit, Maroc",gov,159,119.0
Assa,Assa (Mun.),Assa-zag,Guelmim-Oued Noun,HP,150.0,+212 5 58 88 22 11,assa.hopital@maroc.ma,https://www.hopitalassa.ma,,,"Route de Marrakech, Assa (Mun.), Maroc",gov,160,120.0
Bouizakaren,Bouizakarne (Mun.),Guelmim,Guelmim-Oued Noun,HPr,500.0,,,,,,"Bouizakarne, Maroc",gov,161,121.0
Guelmim,Guelmim (Mun.),Guelmim,Guelmim-Oued Noun,HR,250.0,0525 83 23 45,hcguelmim@hopitaux-marocains.ma,https://www.hopitaux-marocains.ma/hcguelmim,,,"Route de la clinique, 23000 Guelmim, Maroc",gov,162,122.0
Sidi Ifni,Sidi Ifni (Mun.),Sidi Ifni,Guelmim-Oued Noun,HP,150.0,+212 528 83 12 34,hôpital.sidiifni@minss.gov.ma,https://www.minss.gov.ma/hôpitaux/sidi-ifni,,,"Route de l'hôpital, Sidi Ifni, Morocco",gov,163,123.0
Hassan II,Tan Tan (Mun.),Tan Tan,Guelmim-Oued Noun,HP,300.0,+212 528 83 22 22,,,,,"Route de la plage, 83 000 Tan Tan, Maroc",gov,164,124.0
Boujdour,Boujdour (Mun.),Boujdour,Laayoune-Sakia El Hamra,HP,400.0,+212 528 83 23 00,,,,,"Boujdour, BP 1, Boujdour, Dakhla-Oued Ed-Dahab",gov,165,125.0
Es-Smara,Es-semara (Mun.),Es Semara,Laayoune-Sakia El Hamra,HP,150.0,+212 528 83 23 34,,,,,"Route de l'aéroport, Es-Semara, Province de Dakhla-Oued Ed-Dahab, Maroc",gov,166,126.0
My Hassan Ben El Mehdi,Laayoune (Mun.),Laayoune,Laayoune-Sakia El Hamra,HR,200.0,0525 37 22 22,,,,,"Route de Smara, Laayoune, Maroc",gov,167,127.0
Hassan II,Laayoune (Mun.),Laayoune,Laayoune-Sakia El Hamra,HR,500.0,+212 528 83 33 33,,,,,"BP 100, Laayoune (Mun.)",gov,168,127.0
Laayoune,Laayoune (Mun.),Laayoune,Laayoune-Sakia El Hamra,CRO,500.0,+212 528 83 31 31,,,,,"Route de Smara, Laayoune, Maroc",gov,169,127.0
Hassan II,Dakhla (Mun.),Oued Ed-Dahab,Eddakhla-Oued Eddahab,HR,150.0,+212 528 83 23 14,hassan2.dakhla@hopitaux-marocains.ma,https://hopitaux-marocains.ma/hassan2-dakhla,,,"Route de l'aéroport, Dakhla, Maroc",gov,170,128.0
Nom de l'hôpital,,Région,,Catégorie,600.0,,,,,,,gov,171,
Haut Atlas Central,,Béni Mellal-Khénifra,,HP,700.0,,,,,,,gov,172,
Demnate,,Béni Mellal-Khénifra,,HPr,150.0,+212 24 48 23 11,demnate.hopital@minss.gov.ma,https://www.minss.gov.ma/fr/hopitaux/demnate,,,"Route de Marrakech, Demnate, Maroc",gov,173,
Beni Mellal,,Béni Mellal-Khénifra,,HR,450.0,+212 48 84 20 20,hpbm@minss.gov.ma,https://www.hpbm.ma,,,"Route de Marrakech, 23000 Beni Mellal, Maroc",gov,174,
Moulay Ismail,,Béni Mellal-Khénifra,,HPr,1000.0,+212 35 53 24 24,,,,,"B.P. 4010, Meknès, Maroc",gov,175,
Fquih Ben Salah,,Béni Mellal-Khénifra,,HP,300.0,+212 65 97 22 11,hcfbs@minss.gov.ma,https://www.hcfbs.ma,,,"Route de Marrakech, 22000 Fquih Ben Salah, Maroc",gov,176,
Souk Sebt,,Béni Mellal-Khénifra,,HPr,90.0,,,,,,"Souk Sebt, Maroc",gov,177,
Khenifra,,Béni Mellal-Khénifra,,HP,350.0,+212 66 83 22 11,,,,,"Route de Meknès, 53200 Khenifra, Maroc",gov,178,
M'Rirt,,Béni Mellal-Khénifra,,HPr,250.0,+212 5 24 83 23 14,,,,,"Route de Marrakech, M'Rirt, Maroc",gov,179,
Mohamed VI,,Béni Mellal-Khénifra,,HPr,200.0,,,,,,,gov,180,
Hassan II,,Béni Mellal-Khénifra,,HP,1000.0,+212 22 43 31 31,,,,,"BP 8644, Avenue Hassan II, Casablanca",gov,181,
Oued.Zem,,Béni Mellal-Khénifra,,HPr,250.0,+212 48 98 22 11,ouedzem@hopitaux.gov.ma,https://www.hopitaux.gov.ma/ouedzem,,,"Route de Sidi Slimane, 14000 Khouribga, Maroc",gov,182,
Centre de Léprologie,,Casablanca-Settat,,HP,30.0,+212 524 43 31 31,,,,,"BP 1195, Marrakech",gov,183,
Mohamed Sekkat,,Casablanca-Settat,,HP,450.0,,,,,,,gov,184,
Mohamed Baouafi,,Casablanca-Settat,,HP,600.0,+212 524 43 31 31,,,,,"Boulevard Mohammed VI, 40000 Marrakech",gov,185,
Ben Msick,,Casablanca-Settat,,HP,700.0,,,,,,,gov,186,
Benslimane (Hassan II),,Casablanca-Settat,,HP,400.0,+212 5 24 98 22 22,,,,,"Route de Casablanca, 29000 Benslimane",gov,187,
Berrchid,,Casablanca-Settat,,HP,350.0,,,,,,,gov,188,
Errazi,,Casablanca-Settat,,HPsyP,500.0,+212 524 43 31 31,,,,,"Rue El Makhfia, 40000 Marrakech",gov,189,
Ibn Rochd,,Casablanca-Settat,,HIR,500.0,+212 5 22 28 28 28,ibnrochd@hopital.ma,https://www.hopitalibnrochd.ma,,,"Boulevard de l'Académie, Casablanca, Maroc",gov,190,
Hôpital D'enfants,,Casablanca-Settat,,HIR,500.0,,,,,,,gov,191,
20 Aout 1953,,Casablanca-Settat,,HIR,600.0,,,,,,,gov,192,
My Youssef,,Casablanca-Settat,,HR,80.0,,,,,,,gov,193,
Azemmour,,Casablanca-Settat,,HPr,80.0,,,,,,,gov,194,
El Hassani,,Casablanca-Settat,,HP,80.0,,,,,,,gov,195,
Mediouna,,Casablanca-Settat,,HP,300.0,+212 5 24 83 00 00,,,,,"Route de Casablanca, 20620 Mediouna, Maroc",gov,196,
Tit Mellil,,Casablanca-Settat,,HPsyP,250.0,0523 93 23 34,hospital.titmellil@maroc.com,https://www.hopital-titmellil.ma,,,"Route de Rabat, 27600 Tit Mellil, Maroc",gov,197,
My Abdellah,,Casablanca-Settat,,HP,80.0,,,,,,,gov,198,
Sidi Othmane,,Casablanca-Settat,,HP,500.0,+212 524 38 22 22,,,,,"Route de Sidi Othmane, 40000 Marrakech",gov,199,
Bouskoura,,Casablanca-Settat,,HPr,500.0,+212 522 23 23 23,hpbouskoura@hopitaux.gov.ma,https://www.hpbouskoura.ma,,,"Route de Casablanca, 27170 Bouskoura, Maroc",gov,200,
Prince My Hassan,,Casablanca-Settat,,HP,600.0,,,,,,,gov,201,
Ben Ahmed,,Casablanca-Settat,,HPr,120.0,,,,,,,gov,202,
Sidi Bennour,,Casablanca-Settat,,HP,250.0,+212 5 83 53 23 45,,,,,"Route de Marrakech, 43150 Sidi Bennour, Maroc",gov,203,
Zmamra,,Casablanca-Settat,,HPr,120.0,,,,,,,gov,204,
Al Mansour,,Casablanca-Settat,,HP,600.0,,,,,,,gov,205,
HPr Sidi Moumen,,Casablanca-Settat,,HPr,500.0,0537 62 11 11,hpsidimoumen@gmail.com,https://hpsidimoumen.ma,,,"Rue 1, Quartier Sidi Moumen, Casablanca",gov,206,
Sghiri Houmman I Ben Maati,,Drâa-Tafilalet,,HPr,120.0,+212 539 93 31 31,,,,,"Route de l'aéroport, 20000, Tanger, Maroc",gov,207,
My Ali Cherif,,Drâa-Tafilalet,,HR,30.0,,,,,,,gov,208,
Hôpital Amir Soultan Ibn Abdelaziz,,Drâa-Tafilalet,,HP,1000.0,+212 524 38 11 11,,,,,"Route de l'Aéroport, 40100 Marrakech",gov,209,
20 Aout (Goulmima),,Drâa-Tafilalet,,HPr,120.0,,,,,,"Goulmima, Province de Figuig, Région Oriental, Maroc",gov,210,
HPr Rich,,Drâa-Tafilalet,,HPr,500.0,,,,,,,gov,211,
Midelt,,Drâa-Tafilalet,,HP,200.0,+212 53 85 22 11,,,,,"Route de Meknès, 53000 Midelt",gov,212,
Sidi Hssain Bencer,,Drâa-Tafilalet,,HP,150.0,+212 24 98 23 34,sidi-hssain-bencer@hopital.ma,https://hopital-sidi-hssain-bencer.ma,,,"Route de Sidi Hssain, 20000 Sidi Bennour, Marrakech-Safi",gov,213,
Bougafer,,Drâa-Tafilalet,,HP,500.0,+212 5 24 38 00 00,hopital.bougafer@mss.gov.ma,https://www.hopitalbougafer.ma,,,"Route de l'hôpital, 40000 Marrakech",gov,214,
HPr Kalaat M'gouna,,Drâa-Tafilalet,,HPr,150.0,+212 24 88 23 14,,,,,"Kalaat M'gouna, Province de Ouarzazate, Maroc",gov,215,
Tinghir,,Drâa-Tafilalet,,HP,120.0,,,,,,"Tinghir, Province de Tinghir, Région Drâa-Tafilalet, Maroc",gov,216,
Ed-Derrak,,Drâa-Tafilalet,,HP,500.0,+212 524 38 22 22,edderak.hopital@gmail.com,https://www.edderak.ma,,,"Route de l'aéroport, 40000 Marrakech",gov,217,
Marche Verte,,Fès-Meknès,,HP,60.0,,,,,,,gov,218,
S. Ahmed B. Driss Missouri,,Fès-Meknès,,HPr,1000.0,022 43 33 33,,,,,"BP 1010, Avenue Hassan II, Casablanca",gov,219,
Ibn Al Baitar,,Fès-Meknès,,HR,500.0,0524 43 22 22,ibn.al.baitar@hopitaux-marocains.ma,https://www.hopitaux-marocains.ma/ibn-al-baitar,,,"Boulevard Ibn Sina, 40000 Marrakech",gov,220,
Ibn Al Hassan,,Fès-Meknès,,CPU,1000.0,+212 524 43 31 31,,,,,"Boulevard Ibn Sina, 40000 Marrakech",gov,221,
Ibn Al Khatib,,Fès-Meknès,,HR,500.0,+212 5 22 33 44 55,ibnalkhatib@hopital.ma,https://www.hopitalibnalkhatib.ma,,,"Rue Ibn Al Khatib, Casablanca, Maroc",gov,222,
Omar Drissi,,Fès-Meknès,,HIR,480.0,,,,,,,gov,223,
Hôpital des spécialités,,Fès-Meknès,,HIR,400.0,,,,,,,gov,224,
Hôpital Mère-Enfant,,Fès-Meknès,,HIR,500.0,+212 22 43 43 43,hme@hopitalmerefant.ma,https://www.hopitalmerefant.ma,,,"BP 6419, Avenue Hassan II, Casablanca",gov,225,
Hôpital d'Oncologie,,Fès-Meknès,,HIR,560.0,+212 537 73 31 31,,,,,"BP 641, Avenue Ibn Sina, 10000 Rabat",gov,226,
20 Aout (Azrou),,Fès-Meknès,,HP,300.0,+212 535 784 444,,,,,"Route de Taza, Azrou, Fès-Meknès",gov,227,
Sidi Said,,Fès-Meknès,,HP,500.0,+212 537 73 73 73,sidi.said.hopital@maroc.gov.ma,https://www.sidi-said-hopital.ma,,,"Boulevard Mohammed VI, Sidi Said, Rabat, Maroc",gov,228,
Pagnon,,Fès-Meknès,,HP,40.0,,,,,,,gov,229,
Centre d'oncologie,,Fès-Meknès,,CRO,20.0,,,,,,,gov,230,
Taounate,,Fès-Meknès,,HP,250.0,+212 0 35 86 23 34,hospitataounate@marocmail.com,https://hospitataounate.ma,,,"Route de Meknès, Taounate, Maroc",gov,231,
Ibn Baja,,Fès-Meknès,,HP,1000.0,+212 524 43 30 30,,,,,"Rue Ibn Bajah, 40000 Marrakech, Maroc",gov,232,
Assa,,Guelmim-Oued Noun,,HP,300.0,,,,,,,gov,233,
Bouizakaren,,Guelmim-Oued Noun,,HPr,500.0,+212 524 37 34 56,bouizakaren.hopital@maroc.mg,https://bouizakaren.hopital.ma,,,"Route de Bouizakaren, 40000 Marrakech, Maroc",gov,234,
Guelmim,,Guelmim-Oued Noun,,HR,250.0,+212 528 831 111,hpguelmim@minss.gov.ma,https://www.hpguelmim.ma,,,"Route de la ville, Guelmim, Maroc",gov,235,
Sidi Ifni,,Guelmim-Oued Noun,,HP,150.0,+212 528 83 31 31,hopital.sidiifni@minss.gov.ma,https://www.hopital-sidiifni.ma,,,"Route de l'hôpital, Sidi Ifni, Maroc",gov,236,
Boujdour,,Laayoune-Sakia El Hamra,,HP,450.0,,,,,,,gov,237,
Es-Smara,,Laayoune-Sakia El Hamra,,HP,350.0,,,,,,,gov,238,
My Hassan Ben El Mehdi,,Laayoune-Sakia El Hamra,,HR,500.0,+212 524 38 00 00,hbmhassan@gmail.com,https://hbmhassan.ma,,,"Route de l'aéroport, 40000 Marrakech",gov,239,
Laayoune,,Laayoune-Sakia El Hamra,,CRO,500.0,+212 0 928 00 00 00,,,,,"BP 100, Laâyoune",gov,240,
Assalama,,Marrakech-Safi,,HP,300.0,+212 5 24 23 23 23,,,,,"Route de l'aéroport, 40170 Sidi Yahya, Maroc",gov,241,
Hôpital psychiatrique,,Marrakech-Safi,,HPsyP,30.0,,,,,,,gov,242,
Princesse Lalla Khadija,,Marrakech-Safi,,HPr,1000.0,+212 524 38 00 00,,,,,"Boulevard Mohammed VI, 40000 Marrakech, Maroc",gov,243,
Sidi Med Ben Abdellah,,Marrakech-Safi,,HP,1000.0,+212 535 63 63 63,sidi-med-ben-abdellah@minss.gov.ma,https://www.minss.gov.ma/hopitaux/sidi-med-ben-abdellah,,,"Route de l'hôpital, 50000 Fès, Maroc",gov,244,
Ibn Tofeil,,Marrakech-Safi,,HIR,400.0,,,,,,,gov,245,
Ibn Nafis,,Marrakech-Safi,,CPU,500.0,+212 5 22 26 26 26,,,,,"Rue Ibn Sina, Casablanca, Maroc",gov,246,
Centre d'Hématologie Oncologie,,Marrakech-Safi,,HIR,400.0,+212 537 73 31 31,,,,,"BP 6199, Rabat",gov,247,
Arrazi,,Marrakech-Safi,,HIR,500.0,+212 5 37 77 88 99,info@arrazi.ma,https://www.arrazi.ma,,,"BP 1234, 10000 Rabat",gov,248,
Ibn Zohr,,Marrakech-Safi,,HR,1000.0,+212 524 43 30 00,,https://www.hopitalibnzohr.ma,,,"Route de Skhirat, 80000 Marrakech, Maroc",gov,249,
El Antaki,,Marrakech-Safi,,HR,550.0,,,,,,,gov,250,
Saada,,Marrakech-Safi,,HPsyR,500.0,+212 524 38 38 38,saada.hopital@gmail.com,https://www.hopital-saada.ma,,,"Boulevard Mohammed VI, 40000 Marrakech, Maroc",gov,251,
Benguerir,,Marrakech-Safi,,HP,500.0,+212 524 43 23 11,benguerir.hopital@gmail.com,https://www.hopitalbenguerir.ma,,,"Route de Benguerir, 43150 Benguerir, Maroc",gov,252,
Lalla Hasna,,Marrakech-Safi,,HP,700.0,,,,,,,gov,253,
Saidia,,Oriental,,HPr,300.0,+212 5 38 87 14 14,hospitalsaadia@gmail.com,https://www.hospitalsaadia.ma,,,"Route de l'hôpital, 32000 Saidia, Province de Oujda-Angad, Maroc",gov,254,
Guercif,,Oriental,,HP,150.0,+212 37 83 23 456,hguercif@minss.gov.ma,https://www.minss.gov.ma/fr/hopitaux/guercif,,,"Route de Meknès, Guercif, Province de Taounate, Maroc",gov,255,
Jrada,,Oriental,,HP,500.0,+212 535 63 31 31,,,,,"Route de Meknès, 23000, Fès, Maroc",gov,256,
Zaio,,Oriental,,HPr,50.0,,,,,,,gov,257,
Centre d'oncoligie Hassan II,,Oriental,,HIR,80.0,+212 537 77 40 00,,,,,"Bd. Ibn Sina, 10100 Rabat, Maroc",gov,258,
Al Farabi,,Oriental,,HR,500.0,+212 5 22 34 56 78,info@alfarabi-hospital.ma,https://www.alfarabi-hospital.ma,,,"Rue Al Farabi, Casablanca, Maroc",gov,259,
HPr Laayoune Sidi Mellouk,,Oriental,,HPr,200.0,+212 528 830 000,,,,,"Route de la Plage, Laâyoune, Maroc",gov,260,
Taourirt,,Oriental,,HP,150.0,+212 24 88 23 45,hospitaultaourirt@maroc.hc,https://hospitaultaourirt.ma,,,"Route de Ouarzazate, Taourirt, Province de Ouarzazate",gov,261,
Al Idrissi,,Rabat-Salé-Kénitra,,HP,500.0,+212 539 93 31 31,,,,,"Boulevard Mohammed VI, 90000 Tétouan, Maroc",gov,262,
Zoubir Skirej,,Rabat-Salé-Kénitra,,HPr,400.0,+212 524 38 51 51,,,,,"Boulevard de l'Armée Royale, 40000 Marrakech",gov,263,
Khémisset,,Rabat-Salé-Kénitra,,HP,500.0,+212 66 85 73 73,,,,,"Route de Rabat, Khemisset, Province de Khemisset, Maroc",gov,264,
Roummani,,Rabat-Salé-Kénitra,,HPr,250.0,+212 5 24 68 90 12,info@hopital-roummani.ma,https://hopital-roummani.ma,,,"BP 1234, Route de la ville, 10000 Marrakech",gov,265,
Tiflet,,Rabat-Salé-Kénitra,,HPr,500.0,+212 5 27 93 23 11,hospital.tiflet@maroc.hc,https://tiflet.hc.ma,,,"Route de Tiflet, 14210 Tiflet, Maroc",gov,266,
Ibn Sina,,Rabat-Salé-Kénitra,,HIR,500.0,+212 5 22 33 44 55,ibn.sina@hopitaux.ma,https://www.ibnsina.ma,,,"Rue Ibn Sina, Casablanca, Maroc",gov,267,
Maternité Souissi,,Rabat-Salé-Kénitra,,HIR,700.0,+212 537 77 24 24,,,,,"Rue Abou Bakr El Chorfa, Souissi, Rabat",gov,268,
Maternité Orangers,,Rabat-Salé-Kénitra,,HIR,150.0,+212 44 38 20 20,materniteorangers@gmail.com,https://www.materniteorangers.ma,,,"Route de la Maternité, 40000 Marrakech",gov,269,
Hôpital De Rabat,,Rabat-Salé-Kénitra,,HR,500.0,+212 537 73 31 31,hprabat@minss.gov.ma,https://www.hprabat.ma,,,"Boulevard Mohammed V, Rabat 10000, Maroc",gov,270,
El Ayachi,,Rabat-Salé-Kénitra,,HIR,600.0,,,,,,,gov,271,
Moulay Abdellah (Hôp.préféctoral),,Rabat-Salé-Kénitra,,HP,1000.0,+212 524 43 31 31,,,,,"Route de l'aéroport, 40000 Marrakech",gov,272,
Sidi Kacem,,Rabat-Salé-Kénitra,,HP,500.0,0535 83 22 11,,,,,"Route de Meknès, 16000 Sidi Kacem, Maroc",gov,273,
Sidi Slimane,,Rabat-Salé-Kénitra,,HP,500.0,+212 5 83 83 83 83,sidi.slimane.hopital@gmail.com,https://sidi-slimane-hopital.ma,,,"Route de Sidi Slimane, 23000 Sidi Slimane, Maroc",gov,274,
Sidi Lahcen,,Rabat-Salé-Kénitra,,HP,60.0,,,,,,,gov,275,
C. d'Oncologie d'Agadir,,Souss-Massa,,CRO,40.0,+212 528 83 31 31,,,,,"Route de l'Aéroport, 80000 Agadir, Maroc",gov,276,
Mokhtar Soussi,,Souss-Massa,,HP,400.0,,,,,,,gov,277,
Inezgane,,Souss-Massa,,HP,1000.0,+212 528 83 31 31,,,,,"Route de l'aéroport, 80000 Agadir, Maroc",gov,278,
Oulad Teima,,Souss-Massa,,HPr,250.0,+212 5 85 83 23 45,hospitauladteima@maroc.hc,https://www.hospitauladteima.ma,,,"Route de Tanger, 23000 Oulad Teïma, Maroc",gov,279,
Tata,,Souss-Massa,,HP,160.0,,,,,,,gov,280,
Hassan 1er,,Souss-Massa,,HP,500.0,+212 5 22 26 26 26,hassan1er.hopital@maroc.gov.ma,https://www.hassan1er.hopital.ma,,,"Rue Hassan II, Casablanca, Maroc",gov,281,
Houmman El Fatouaki,,Souss-Massa,,HP,250.0,+212 524 38 22 22,houman-el-fatouaki@hopitaux-marocains.ma,https://hopitaux-marocains.ma/houmman-el-fatouaki,,,"Route de l'aéroport, 40000 Marrakech",gov,282,
C. d'oncologie d'Al Hoceima,,Tanger-Tetouan-Al Hoceima,,CRO,150.0,+212 539 83 23 34,cdo.alhoceima@hopitaux.gov.ma,https://hopitaux.gov.ma/cdo-alhoceima,,,"Route de Targuist, 32000 Al Hoceima",gov,283,
Imzouren,,Tanger-Tetouan-Al Hoceima,,HPr,120.0,,,,,,,gov,284,
Targuist,,Tanger-Tetouan-Al Hoceima,,HPr,250.0,+212 539 88 22 11,hospitaltarguist@gmail.com,https://www.hospitaltarguist.ma,,,"Route de Targuist, Targuist, Province de Targuist, Région Tanger-Tétouan-Al Hoceïma, Maroc",gov,285,
Ksar El Kebir,,Tanger-Tetouan-Al Hoceima,,HPr,250.0,0539 83 23 34,ksar-el-kebir.hopital@maroc.ma,https://ksar-el-kebir.hopital.ma,,,"Route de Rabat, Ksar El Kebir, 12000, Morocco",gov,286,
Lalla Meriem,,Tanger-Tetouan-Al Hoceima,,HP,500.0,+212 537 73 73 73,lalla.meriem@hopitaux-marocains.ma,https://www.hopitaux-marocains.ma/lalla-meriem,,,"Route de l'hôpital, 10000 Rabat",gov,287,
Abou Kacem Zahraoui,,Tanger-Tetouan-Al Hoceima,,HP,1000.0,0524 43 31 31,,,,,"Boulevard d'Agdal, 10000 Marrakech, Maroc",gov,288,
Al Kortobi,,Tanger-Tetouan-Al Hoceima,,HR,500.0,+212 5 24 43 11 11,al-kortobi@hopitaux-marocains.ma,https://www.al-kortobi.ma,,,"Route de l'hôpital, 40000 Marrakech",gov,289,
